"TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,PupilSize,Trigger,Subject_ID,Calibration_status"
"5615.0,,,0,,,0,,,,0,,0,,3001,0,0"
"5631.6,,,0,,,0,,,,0,,0,,3001,0,0"
"5648.3,,,0,,,0,,,,0,,0,,3001,0,0"
"5665.0,,,0,,,0,,,,0,,0,,3001,0,0"
"5681.6,,,0,,,0,,,,0,,0,,3001,0,0"
"5698.3,,,0,,,0,,,,0,,0,,3001,0,0"
"5714.9,,,0,,,0,,,,0,,0,,3001,0,0"
"5731.6,,,0,,,0,,,,0,,0,,3001,0,0"
"5748.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5764.9,,,0,,,0,,,,0,,0,,3001,0,0"
"5781.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5798.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5814.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5831.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5848.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5864.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5881.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5898.1,,,0,,,0,,,,0,,0,,3001,0,0"
"5914.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5931.4,,,0,,,0,,,,0,,0,,3001,0,0"
"5948.1,,,0,,,0,,,,0,,0,,3001,0,0"
"5964.7,,,0,,,0,,,,0,,0,,3001,0,0"
"5981.4,,,0,,,0,,,,0,,0,,3001,0,0"
